 format: day,hour,forecast,value location:57_123 Start : 20150101 
 12,0830,+3,1.000000 
 12,0830,+4,1.000000 
 12,0930,+1,1.000000 
 12,0930,+2,1.000000 
 12,0930,+3,1.000000 
 12,1030,+1,1.000000 
 12,1030,+2,1.000000 
 12,1130,+1,1.000000 
 12,1130,+2,1.000000 
 12,1130,+3,1.000000 
 12,1130,+4,1.000000 
 12,1230,+1,1.000000 
 12,1230,+2,1.000000 
 12,1230,+3,1.000000 
 12,1330,+1,1.000000 
 12,1330,+2,1.000000 
 12,1430,+1,1.000000 
 12,1430,+2,1.000000 
 12,1430,+3,1.000000 
 12,1430,+4,1.000000 
 12,1530,+1,1.000000 
 12,1530,+2,1.000000 
 12,1530,+3,1.000000 
 12,1630,+1,1.000000 
 12,1630,+2,1.000000 
 12,1730,+1,1.000000 
 12,1730,+2,1.000000 
 12,1730,+3,2.000000 
 12,1730,+4,2.000000 
 12,1830,+1,1.000000 
 12,1830,+2,2.000000 
 12,1830,+3,2.000000 
 12,1930,+1,1.000000 
 12,1930,+2,2.000000 
 12,2030,+1,2.000000 
 12,2030,+2,2.000000 
 12,2030,+3,2.000000 
 12,2030,+4,2.000000 
 12,2130,+1,2.000000 
 12,2130,+2,2.000000 
 12,2130,+3,2.000000 
 12,2230,+1,3.000000 
 12,2230,+2,3.000000 
 12,2330,+1,3.000000 
 12,2330,+2,3.000000 
 12,2330,+3,3.000000 
 12,2330,+4,3.000000 
 13,0030,+1,3.000000 
 13,0030,+2,3.000000 
 13,0030,+3,3.000000 
 13,0130,+1,3.000000 
 13,0130,+2,3.000000 
 13,0230,+1,3.000000 
 13,0230,+2,3.000000 
 13,0230,+3,3.000000 
 13,0230,+4,3.000000 
 13,0330,+1,3.000000 
 13,0330,+2,3.000000 
 13,0330,+3,3.000000 
 13,0430,+1,3.000000 
 13,0430,+2,3.000000 
 13,0530,+1,3.000000 
 13,0530,+2,3.000000 
 13,0530,+3,3.000000 
 13,0530,+4,3.000000 
 13,0630,+1,3.000000 
 13,0630,+2,3.000000 
 13,0630,+3,3.000000 
 13,0730,+1,3.000000 
 13,0730,+2,3.000000 
 13,0830,+1,3.000000 
 13,0830,+2,3.000000 
 13,0830,+3,3.000000 
 13,0830,+4,3.000000 
 13,0930,+1,3.000000 
 13,0930,+2,3.000000 
 13,0930,+3,3.000000 
 13,1030,+1,3.000000 
 13,1030,+2,3.000000 
 13,1130,+1,3.000000 
 13,1130,+2,3.000000 
 13,1130,+3,3.000000 
 13,1130,+4,3.000000 
 13,1230,+1,3.000000 
 13,1230,+2,3.000000 
 13,1230,+3,3.000000 
 13,1330,+1,3.000000 
 13,1330,+2,3.000000 
 13,1430,+1,3.000000 
 13,1430,+2,3.000000 
 13,1430,+3,3.000000 
 13,1430,+4,3.000000 
 13,1530,+1,3.000000 
 13,1530,+2,3.000000 
 13,1530,+3,3.000000 
 13,1630,+1,3.000000 
 13,1630,+2,3.000000 
 13,1730,+1,3.000000 
 13,1730,+2,3.000000 
 13,1730,+3,3.000000 
 13,1730,+4,3.000000 
 13,1830,+1,3.000000 
 13,1830,+2,3.000000 
 13,1830,+3,3.000000 
 13,1930,+1,3.000000 
 13,1930,+2,3.000000 
 13,2030,+1,3.000000 
 13,2030,+2,3.000000 
 13,2030,+3,3.000000 
 13,2030,+4,3.000000 
