대상,정격용량,년,월,일,시,인버터출력,경사일사량,수평일사량,표면온도,주위온도
경기도연성,1490,2016,1,6,14,275,74,50,12,8
경기도연성,1490,2016,1,6,15,318,86,59,10,7
경기도연성,1490,2016,1,6,16,55,69,0,8,6
경기도연성,1490,2016,1,6,17,0,16,0,6,5
경기도연성,1490,2016,1,6,18,0,0,0,5,5
경기도연성,1490,2016,1,6,19,0,0,0,3,4
경기도연성,1490,2016,1,6,20,0,0,0,3,4
경기도연성,1490,2016,1,6,21,0,0,0,2,3
경기도연성,1490,2016,1,6,22,0,0,0,2,3
경기도연성,1490,2016,1,6,23,0,0,0,1,2
경기도연성,1490,2016,1,7,0,0,26,0,0,2
경기도연성,1490,2016,1,7,1,0,14,0,0,2
경기도연성,1490,2016,1,7,2,0,0,0,-1,1
경기도연성,1490,2016,1,7,3,0,0,0,-3,0
경기도연성,1490,2016,1,7,4,0,31,0,-2,0
경기도연성,1490,2016,1,7,5,0,11,0,-2,0
경기도연성,1490,2016,1,7,6,0,0,0,-2,-1
경기도연성,1490,2016,1,7,7,0,0,0,-4,-2
경기도연성,1490,2016,1,7,8,5,16,0,-2,0
경기도연성,1490,2016,1,7,9,159,172,28,7,2
경기도연성,1490,2016,1,7,10,275,234,74,16,5
경기도연성,1490,2016,1,7,11,983,263,136,17,5
경기도연성,1490,2016,1,7,12,1109,258,172,22,7
경기도연성,1490,2016,1,7,13,1084,246,165,20,7
경기도연성,1490,2016,1,7,14,925,302,146,17,7
경기도연성,1490,2016,1,7,15,634,163,110,14,6
경기도연성,1490,2016,1,7,16,203,59,11,6,4
경기도연성,1490,2016,1,7,17,30,55,0,3,3
경기도연성,1490,2016,1,7,18,0,16,0,0,2
경기도연성,1490,2016,1,7,19,0,0,0,-2,1
경기도연성,1490,2016,1,7,20,0,0,0,-1,1
경기도연성,1490,2016,1,7,21,0,0,0,-2,0
경기도연성,1490,2016,1,7,22,0,0,0,-1,1
경기도연성,1490,2016,1,7,23,0,0,0,-1,0
경기도연성,1490,2016,1,8,0,0,0,0,-2,0
경기도연성,1490,2016,1,8,1,0,23,0,-3,-1
경기도연성,1490,2016,1,8,2,0,19,0,-3,-1
경기도연성,1490,2016,1,8,3,0,31,0,-3,-1
경기도연성,1490,2016,1,8,4,0,11,0,-3,-1
경기도연성,1490,2016,1,8,5,0,0,0,-3,-1
경기도연성,1490,2016,1,8,6,0,11,0,-4,-3
경기도연성,1490,2016,1,8,7,0,0,0,-4,-3
경기도연성,1490,2016,1,8,8,7,33,0,-5,-3
경기도연성,1490,2016,1,8,9,158,131,31,5,0
경기도연성,1490,2016,1,8,10,275,256,83,17,6
경기도연성,1490,2016,1,8,11,1058,227,122,18,6
경기도연성,1490,2016,1,8,12,1149,261,167,21,7
경기도연성,1490,2016,1,8,13,1076,225,167,17,7
경기도연성,1490,2016,1,8,14,896,234,136,15,6
경기도연성,1490,2016,1,8,15,633,206,103,12,6
경기도연성,1490,2016,1,8,16,272,88,45,8,6
경기도연성,1490,2016,1,8,17,30,112,0,4,4
경기도연성,1490,2016,1,8,18,0,14,0,1,3
경기도연성,1490,2016,1,8,19,0,0,0,-1,1
경기도연성,1490,2016,1,8,20,0,38,0,0,2
경기도연성,1490,2016,1,8,21,0,33,0,1,2
경기도연성,1490,2016,1,8,22,0,0,0,1,2
경기도연성,1490,2016,1,8,23,0,11,0,-1,2
경기도연성,1490,2016,1,9,0,0,0,0,0,2
경기도연성,1490,2016,1,9,1,0,31,0,1,2
경기도연성,1490,2016,1,9,2,0,31,0,1,2
경기도연성,1490,2016,1,9,3,0,0,0,-1,1
경기도연성,1490,2016,1,9,4,0,0,0,0,1
경기도연성,1490,2016,1,9,5,0,16,0,0,1
경기도연성,1490,2016,1,9,6,0,0,0,-1,0
경기도연성,1490,2016,1,9,7,0,0,0,-2,0
경기도연성,1490,2016,1,9,8,14,40,0,-2,-1
경기도연성,1490,2016,1,9,9,167,206,43,10,3
경기도연성,1490,2016,1,9,10,287,290,98,16,5
경기도연성,1490,2016,1,9,11,880,246,129,21,8
경기도연성,1490,2016,1,9,12,1158,285,170,20,7
경기도연성,1490,2016,1,9,13,1256,314,210,16,7
경기도연성,1490,2016,1,9,14,914,208,160,19,8
경기도연성,1490,2016,1,9,15,210,50,45,10,6
경기도연성,1490,2016,1,9,16,184,47,28,8,6
경기도연성,1490,2016,1,9,17,23,0,0,4,5
경기도연성,1490,2016,1,9,18,0,11,0,2,4
경기도연성,1490,2016,1,9,19,0,0,0,2,4
경기도연성,1490,2016,1,9,20,0,0,0,0,2
경기도연성,1490,2016,1,9,21,0,0,0,2,3
경기도연성,1490,2016,1,9,22,0,0,0,3,3
경기도연성,1490,2016,1,9,23,0,0,0,3,4
경기도연성,1490,2016,1,10,0,0,0,0,3,4
경기도연성,1490,2016,1,10,1,0,0,0,3,4
경기도연성,1490,2016,1,10,2,0,11,0,4,4
경기도연성,1490,2016,1,10,3,0,0,0,4,4
경기도연성,1490,2016,1,10,4,0,0,0,4,4
경기도연성,1490,2016,1,10,5,0,0,0,4,4
경기도연성,1490,2016,1,10,6,0,0,0,3,3
경기도연성,1490,2016,1,10,7,0,0,0,4,4
경기도연성,1490,2016,1,10,8,0,0,0,4,4
경기도연성,1490,2016,1,10,9,84,55,0,6,5
경기도연성,1490,2016,1,10,10,287,167,38,8,5
경기도연성,1490,2016,1,10,11,851,215,127,14,7
경기도연성,1490,2016,1,10,12,1153,237,170,17,8
경기도연성,1490,2016,1,10,13,907,242,158,18,9
경기도연성,1490,2016,1,10,14,785,210,151,19,10
경기도연성,1490,2016,1,10,15,553,198,119,15,9
경기도연성,1490,2016,1,10,16,239,76,57,11,8
경기도연성,1490,2016,1,10,17,18,33,0,5,6
경기도연성,1490,2016,1,10,18,0,28,0,3,5
경기도연성,1490,2016,1,10,19,0,14,0,2,4
경기도연성,1490,2016,1,10,20,0,0,0,2,3
경기도연성,1490,2016,1,10,21,0,19,0,1,3
경기도연성,1490,2016,1,10,22,0,14,0,1,2
경기도연성,1490,2016,1,10,23,0,0,0,0,1
경기도연성,1490,2016,1,11,0,0,16,0,-1,1
경기도연성,1490,2016,1,11,1,0,0,0,0,1
경기도연성,1490,2016,1,11,2,0,16,0,-1,0
경기도연성,1490,2016,1,11,3,0,0,0,-2,0
경기도연성,1490,2016,1,11,4,0,0,0,-4,-1
경기도연성,1490,2016,1,11,5,0,21,0,-4,-1
경기도연성,1490,2016,1,11,6,0,23,0,-4,-2
경기도연성,1490,2016,1,11,7,0,0,0,-3,-1
경기도연성,1490,2016,1,11,8,5,0,0,-3,-1
경기도연성,1490,2016,1,11,9,162,141,28,6,1
경기도연성,1490,2016,1,11,10,297,249,86,14,4
경기도연성,1490,2016,1,11,11,1016,249,124,13,4
경기도연성,1490,2016,1,11,12,1100,292,167,16,6
경기도연성,1490,2016,1,11,13,1105,306,175,19,7
경기도연성,1490,2016,1,11,14,826,227,158,17,6
경기도연성,1490,2016,1,11,15,624,155,103,12,5
경기도연성,1490,2016,1,11,16,278,148,43,7,5
경기도연성,1490,2016,1,11,17,24,21,0,1,3
경기도연성,1490,2016,1,11,18,0,0,0,1,2
경기도연성,1490,2016,1,11,19,0,0,0,0,2
경기도연성,1490,2016,1,11,20,0,19,0,-1,1
경기도연성,1490,2016,1,11,21,0,0,0,-1,0
경기도연성,1490,2016,1,11,22,0,21,0,-1,0
경기도연성,1490,2016,1,11,23,0,0,0,-2,0
경기도연성,1490,2016,1,12,0,0,0,0,-3,-1
경기도연성,1490,2016,1,12,1,0,16,0,-3,-2
경기도연성,1490,2016,1,12,2,0,0,0,-3,-2
경기도연성,1490,2016,1,12,3,0,0,0,-5,-3
경기도연성,1490,2016,1,12,4,0,0,0,-3,-2
경기도연성,1490,2016,1,12,5,0,0,0,-6,-3
경기도연성,1490,2016,1,12,6,0,11,0,-6,-4
경기도연성,1490,2016,1,12,7,0,0,0,-7,-5
경기도연성,1490,2016,1,12,8,2,23,0,-7,-4
경기도연성,1490,2016,1,12,9,168,127,43,7,1
경기도연성,1490,2016,1,12,10,279,227,86,14,3
경기도연성,1490,2016,1,12,11,1026,251,131,19,5
경기도연성,1490,2016,1,12,12,1140,297,163,22,6
경기도연성,1490,2016,1,12,13,1079,227,163,21,6
경기도연성,1490,2016,1,12,14,932,278,163,17,6
경기도연성,1490,2016,1,12,15,656,155,110,11,5
